epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,208.027,1.61737,12.3136,0.76215,0.0428,0.47173,0.37952,0.3356,0.17956,1.91683,13.7826,1.4573,0.05025,0.00202831,0.00202831,0.00202831
38,213.612,1.76339,12.6824,0.75729,0.05457,0.32977,0.31368,0.26335,0.13516,2.10471,16.6038,1.33902,0.04598,0.00200839,0.00200839,0.00200839
39,219.195,1.72512,12.1764,0.82372,0.0412,0.55476,0.4159,0.41959,0.21159,1.88885,13.3739,1.44151,0.04099,0.00198847,0.00198847,0.00198847
40,224.78,1.64778,11.8157,0.76187,0.0418,0.4839,0.36126,0.36654,0.19844,2.02037,14.0383,1.35362,0.03969,0.00196855,0.00196855,0.00196855
41,230.145,1.69746,12.3376,0.77583,0.04163,0.47111,0.3634,0.35559,0.18022,1.99545,14.1526,1.45683,0.04515,0.00194864,0.00194864,0.00194864
42,235.666,1.68624,12.0598,0.78401,0.03387,0.70209,0.36289,0.40635,0.21954,1.89901,13.1992,1.45312,0.04007,0.00192872,0.00192872,0.00192872
43,241.209,1.72486,11.8243,0.73336,0.0465,0.50508,0.37081,0.36137,0.19508,1.88921,13.4825,1.36851,0.03651,0.0019088,0.0019088,0.0019088
44,246.751,1.60253,11.2085,0.74017,0.03867,0.46401,0.34205,0.31439,0.17709,2.005,14.3495,1.39351,0.04962,0.00188889,0.00188889,0.00188889
45,252.377,1.63079,11.4744,0.75928,0.03709,0.60933,0.30354,0.32562,0.18749,1.89439,17.0984,1.45679,0.03577,0.00186897,0.00186897,0.00186897
46,257.88,1.72107,11.6931,0.80486,0.04624,0.54297,0.37117,0.40613,0.21865,1.90311,13.2019,1.42394,0.04611,0.00184905,0.00184905,0.00184905
47,263.392,1.72197,11.6957,0.72893,0.04392,0.45934,0.33771,0.33977,0.1826,2.00766,14.1167,1.40521,0.04164,0.00182913,0.00182913,0.00182913
48,268.804,1.71026,11.5896,0.76072,0.04414,0.4881,0.36078,0.34372,0.18473,1.91535,13.9783,1.43798,0.03869,0.00180922,0.00180922,0.00180922
49,274.494,1.62586,11.2192,0.78595,0.03928,0.57367,0.31477,0.35027,0.18679,1.91922,13.6569,1.45625,0.04347,0.0017893,0.0017893,0.0017893
50,279.927,1.63728,11.2849,0.74732,0.03334,0.44887,0.40031,0.38222,0.18499,1.94764,13.8779,1.41572,0.04534,0.00176938,0.00176938,0.00176938
51,285.534,1.74431,11.8162,0.75073,0.04009,0.48677,0.33442,0.31771,0.18258,1.99164,13.8523,1.43993,0.04589,0.00174947,0.00174947,0.00174947
52,291.118,1.69947,11.3532,0.78982,0.04611,0.57177,0.36099,0.39331,0.22307,1.8677,13.1762,1.39586,0.04398,0.00172955,0.00172955,0.00172955
53,296.776,1.59966,11.086,0.77227,0.03687,0.60896,0.3817,0.40499,0.23426,1.83763,13.2678,1.40362,0.0411,0.00170963,0.00170963,0.00170963
54,302.286,1.66951,10.9055,0.79375,0.04057,0.58228,0.37821,0.42295,0.23686,1.92315,12.4252,1.36316,0.04131,0.00168971,0.00168971,0.00168971
55,307.726,1.69761,11.4051,0.83504,0.04017,0.60996,0.332,0.37639,0.20011,1.99819,14.3027,1.43936,0.04323,0.0016698,0.0016698,0.0016698
56,313.182,1.73118,11.0071,0.78871,0.04186,0.54396,0.31994,0.33224,0.18105,2.04424,14.5942,1.39143,0.04321,0.00164988,0.00164988,0.00164988
57,318.686,1.58494,10.8335,0.76042,0.03363,0.41418,0.4061,0.34673,0.2004,1.93013,14.0723,1.39207,0.05083,0.00162996,0.00162996,0.00162996
58,324.37,1.70645,11.1595,0.84181,0.04775,0.48437,0.37447,0.34916,0.20703,1.91695,13.78,1.33644,0.04499,0.00161005,0.00161005,0.00161005
59,330.01,1.61785,10.8268,0.77256,0.03623,0.50663,0.36644,0.35239,0.2004,1.93681,14.3056,1.31996,0.04171,0.00159013,0.00159013,0.00159013
60,335.569,1.67443,10.5612,0.77786,0.03414,0.59599,0.3432,0.39141,0.20148,1.89235,13.6117,1.51246,0.03917,0.00157021,0.00157021,0.00157021
61,341.084,1.62508,10.8502,0.8091,0.04448,0.57147,0.35986,0.39289,0.21369,1.99901,13.5473,1.41693,0.04155,0.0015503,0.0015503,0.0015503
62,346.756,1.58732,10.784,0.7838,0.0347,0.51455,0.33551,0.38124,0.21374,1.92237,13.6323,1.47034,0.03836,0.00153038,0.00153038,0.00153038
63,352.282,1.6279,10.6748,0.75925,0.03897,0.59668,0.33572,0.36454,0.19107,1.91964,14.8915,1.3919,0.03899,0.00151046,0.00151046,0.00151046
